Office,Origin,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Brazil ,Resident,2149,2171,2116,2302,2062,1954,1855,2451,2338,2323,2389,2319,2100,2429,2269,2707,2611,2756,2491,2816,3080,3323,3365,3689,3958,3905,3810,4023,4084,3921,2705,
Brazil ,Non-Resident,6228,6113,5562,4900,4657,4565,4413,4702,4546,4657,5148,4625,4374,4221,4228,4741,5446,13479,13546,14693,14296,13881,12657,14015,15314,16100,20264,17802,18833,18023,19981,
Brunei Darussalam ,Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam ,Non-Resident,,,,,,,,,,,,,,88,41,42,21,42,32,34,21,21,21,43,31,26,41,64,75,42,,
Bulgaria ,Resident,3297,3673,3628,3811,3843,2,1,3,6,63,198,422,329,412,319,368,316,394,274,282,231,283,289,278,263,261,243,211,249,242,243,262
Bulgaria ,Non-Resident,804,871,717,728,738,248,211,311,253,267,331,326,351,152,531,363,407,538,524,616,709,785,735,680,133,52,48,28,22,24,17,21
Burkina Faso ,Resident,,,,,,,,,,,,,,,,,,,2,4,2,,,1,2,1,,,,,2,
Burkina Faso ,Non-Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi ,Resident,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,
Burundi ,Non-Resident,10,5,2,2,7,,2,,,1,3,,2,1,4,1,4,,,,,,,,,,,,,,,
Canada ,Resident,1648,2164,2000,2017,2026,2092,2161,2527,2772,3031,2549,2182,2807,3623,2480,2431,2583,3344,3809,4061,4187,3963,3959,3929,5231,5183,5522,4998,5061,5067,4550,4754
Canada ,Non-Resident,22699,23267,23883,23690,24709,25482,25596,26598,28869,32060,24375,21097,22950,23307,13870,24161,24987,25238,30163,33189,35435,35753,35782,33299,32970,34705,36516,35133,37028,32410,30899,30357
Chile ,Resident,140,92,96,96,105,122,96,108,111,135,169,151,178,155,219,171,176,161,207,204,241,246,391,329,382,361,291,403,531,343,328,339
Chile ,Non-Resident,685,744,665,647,602,550,592,621,622,682,642,838,949,1179,1418,1535,1771,2411,2568,2608,2879,2504,2147,2076,2485,2646,2924,3403,3421,1374,748,2453
China ,Resident,,,,,,4065,3494,3975,,4749,5832,7372,10022,12084,11191,10011,11628,12672,13751,15626,25346,30038,39806,56769,65786,93485,122318,153060,194579,229096,293066,415829
China ,Non-Resident,,,,,,4493,4515,4084,,4910,4305,4051,4387,7534,7876,8688,11114,12102,33645,34418,26560,33412,40426,48548,64598,79842,88183,92101,95259,85508,98111,110583
"China, Hong Kong SAR ",Resident,,,,21,20,16,10,13,12,15,21,16,11,9,21,23,41,26,128,42,51,74,112,107,127,156,172,160,173,149,133,181
"China, Hong Kong SAR ",Non-Resident,,,,871,810,955,1027,1107,1056,886,1060,1076,1248,1186,1619,1938,2059,2359,14539,5998,8244,8840,9018,8995,9878,11607,13618,13606,13489,11708,11569,13312
"China, Macao SAR ",Resident,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,3,1,4,4
"China, Macao SAR ",Non-Resident,,,,,,,,,,,,,,,,,,,,,,7,12,,22,119,131,291,208,123,58,56
Colombia ,Resident,43,39,,82,69,72,81,52,85,90,,85,120,138,124,141,87,80,161,68,75,65,54,82,76,99,142,128,126,128,133,183
Colombia ,Non-Resident,335,604,,527,471,441,404,532,420,516,,527,575,769,867,1093,1172,1497,1670,1615,1694,432,858,1127,1365,1662,1861,1862,1818,1551,1739,1770
Congo ,Resident,,,,,,,5,,19,,,,,,,,,,,,,,,,,,,,,,,
Congo ,Non-Resident,,,,,,,81,,55,,,,,,21,15,27,,,,,,,,,,,,,,,
Costa Rica ,Resident,30,41,38,16,,,19,12,10,14,25,,,29,,,,,,,,,,,,,,,,,8,14
Costa Rica ,Non-Resident,85,91,61,74,,,54,33,38,27,41,,,91,,,,,,,,,,,,,,,,,1212,630
Croatia ,Resident,,,,,,,,,,,,,479,503,277,265,259,273,267,246,337,362,328,387,385,363,317,344,330,250,257,230
Croatia ,Non-Resident,,,,,,,,,,,,,1010,746,584,335,356,439,352,144,538,599,703,699,839,649,119,93,71,68,21,21
Cuba ,Resident,129,122,183,166,214,,,,,,,,1,1,121,104,83,109,,110,,,,,,105,94,74,69,59,,62
Cuba ,Non-Resident,70,58,39,31,28,,,,,,26,24,19,13,31,33,40,31,,127,,,,,,180,163,210,189,172,,184
Cyprus ,Resident,1,,,2,2,,,,,,,,,,,,,,,,,,,12,9,20,,3,11,6,4,
Cyprus ,Non-Resident,66,34,38,46,54,43,30,,,,43,53,57,,,,,,,,,,,85,85,44,,16,10,6,4,8
Czech Republic ,Resident,,,,,,,,,,,,,,893,756,626,614,579,624,596,555,568,526,625,623,586,641,716,712,789,868,783
Czech Republic ,Non-Resident,,,,,,,,,,,,,,2040,2593,2893,3247,3661,3771,4204,4384,4184,5031,2954,629,244,195,192,142,92,114,97
Czechoslovakia ,Resident,7606,8036,8393,8717,9085,26,27,28,54,79,418,2186,2181,,,,,,,,,,,,,,,,,,,
Czechoslovakia ,Non-Resident,2036,2019,1757,1590,1573,932,902,925,943,909,1858,2016,1898,,,,,,,,,,,,,,,,,,,
Democratic Peoples Republic of Korea ,Resident,,,,,,,,,,,,,,,,,,,,,,,,,,5861,6350,6846,,7956,8018,
Democratic Peoples Republic of Korea ,Non-Resident,,,,,,,8,32,13,13,38,8,8,,,,,,,,,,,,,66,56,76,,55,39,
Denmark ,Resident,964,1085,1095,1167,966,856,958,1007,1197,1120,1218,1061,1204,1159,1274,1234,1309,1319,1543,1656,1730,1757,1815,1772,1877,1658,1503,1660,1634,1518,1626,1574
Denmark ,Non-Resident,4605,4745,4706,4920,5312,5236,5386,4759,6124,4683,1843,370,361,254,176,250,196,218,166,131,140,188,169,153,138,165,188,197,195,131,142,197
Dominica ,Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica ,Non-Resident,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
Dominican Republic ,Resident,,,,25,,,14,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic ,Non-Resident,,,,66,,,135,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador ,Resident,35,14,22,24,24,,27,21,24,26,,13,23,21,4,8,7,8,,15,10,7,13,7,14,11,8,4,2,6,4,
Ecuador ,Non-Resident,152,180,122,112,96,,104,78,97,94,,75,84,100,335,270,354,302,,475,541,256,101,415,489,580,751,794,847,668,690,
Egypt ,Resident,76,59,53,88,128,168,142,170,190,186,278,308,301,328,308,408,504,,494,536,534,464,627,493,382,428,,516,481,490,605,618
