United States Billion-Dollar Disasters Cost (CPI-Adjusted)
Cost values are in billions of dollars
State,Year,"Drought Count","Drought Cost","Drought Lower 75","Drought Upper 75","Drought Lower 90","Drought Upper 90","Drought Lower 95","Drought Upper 95","Flooding Count","Flooding Cost","Flooding Lower 75","Flooding Upper 75","Flooding Lower 90","Flooding Upper 90","Flooding Lower 95","Flooding Upper 95","Freeze Count","Freeze Cost","Freeze Lower 75","Freeze Upper 75","Freeze Lower 90","Freeze Upper 90","Freeze Lower 95","Freeze Upper 95","Severe Storm Count","Severe Storm Cost","Severe Storm Lower 75","Severe Storm Upper 75","Severe Storm Lower 90","Severe Storm Upper 90","Severe Storm Lower 95","Severe Storm Upper 95","Tropical Cyclone Count","Tropical Cyclone Cost","Tropical Cyclone Lower 75","Tropical Cyclone Upper 75","Tropical Cyclone Lower 90","Tropical Cyclone Upper 90","Tropical Cyclone Lower 95","Tropical Cyclone Upper 95","Wildfire Count","Wildfire Cost","Wildfire Lower 75","Wildfire Upper 75","Wildfire Lower 90","Wildfire Upper 90","Wildfire Lower 95","Wildfire Upper 95","Winter Storm Count","Winter Storm Cost","Winter Storm Lower 75","Winter Storm Upper 75","Winter Storm Lower 90","Winter Storm Upper 90","Winter Storm Lower 95","Winter Storm Upper 95","All Disasters Count","All Disasters Cost","All Disasters Lower 75","All Disasters Upper 75","All Disasters Lower 90","All Disasters Upper 90","All Disasters Lower 95","All Disasters Upper 95"
US,1990,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.4,2.2,2.9,2.2,3.1,1.9,3.1,1,8.2,6.3,10.2,6.1,10.4,5.8,10.6,1,1.9,1.9,2.4,1.9,2.6,1.7,2.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.7,1.4,2.3,1.9,2.6,2.1,2.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,14.2,11.8,17.8,12.1,18.7,11.5,18.9
US,1991,1,6.9,6.9,8.9,6.6,9.4,6.4,9.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.5,1.4,1.6,1.1,1.8,1.1,1.8,1,3.4,2.9,4.1,2.7,4.1,2.5,4.3,1,7.4,5.8,8.5,5.6,9.0,5.2,9.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,19.2,17.0,23.1,16.0,24.3,15.2,25.1
US,1992,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6.9,6.3,7.9,6.3,8.6,5.7,8.6,2,65.9,58.9,71.6,56.7,73.9,55.6,75.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5.4,4.8,5.9,4.6,6.1,4.6,6.3,7,78.2,70.0,85.4,67.6,88.6,65.9,90.5
US,1993,1,2.7,2.8,3.2,2.6,3.5,2.6,3.5,1,45.3,32.0,43.2,30.0,45.1,28.7,46.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.4,1.1,1.3,1.1,1.5,0.9,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.9,2.1,3.0,2.1,3.2,1.9,3.4,1,11.9,11.0,12.7,10.8,13.2,10.2,13.8,5,64.2,49.0,63.4,46.6,66.5,44.3,68.9
US,1994,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.1,2.1,2.9,1.9,3.1,1.9,3.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.1,1.9,2.1,1.9,2.3,1.7,2.3,1,2.1,1.9,2.5,1.7,2.5,1.7,2.5,1,1.5,1.2,1.9,1.2,1.9,1.0,2.1,2,8.5,7.3,9.2,7.1,9.4,6.9,9.4,6,16.3,14.4,18.6,13.8,19.2,13.2,19.6
US,1995,1,2.0,1.8,2.2,1.6,2.6,1.4,2.8,1,5.1,3.3,4.9,2.9,5.3,2.9,5.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,12.3,9.5,12.8,8.7,13.6,8.3,14.2,3,15.3,14.0,17.9,13.6,19.5,13.2,20.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,34.7,28.6,37.8,26.8,41.0,25.8,42.6
US,1996,1,3.6,3.4,4.6,3.4,5.0,3.2,5.2,2,3.3,2.8,4.2,2.8,4.4,2.6,4.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9.8,9.0,11.5,8.4,12.1,8.0,12.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6.0,4.8,6.6,4.6,7.0,4.6,7.2,5,22.7,20.0,26.9,19.2,28.5,18.4,29.5
US,1997,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,13.0,12.0,17.6,11.3,18.4,10.5,19.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.9,1.7,2.1,1.7,2.1,1.5,2.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,14.9,13.7,19.7,13.0,20.5,12.0,21.4
US,1998,1,6.7,5.7,7.1,5.5,7.4,5.3,7.6,1,1.8,1.5,2.3,1.5,2.4,1.3,2.4,1,4.8,3.8,5.7,3.6,5.9,3.6,5.9,4,8.9,7.9,9.5,7.3,10.1,7.1,10.7,3,14.5,12.4,16.3,11.7,17.4,11.5,17.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.7,2.1,2.7,2.1,2.9,1.9,3.1,11,39.4,33.4,43.6,31.7,46.1,30.7,47.5
US,1999,1,4.7,4.3,5.1,4.1,5.1,4.1,5.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.7,3.2,4.1,3.2,4.3,3.0,4.5,1,11.9,10.5,12.9,10.1,13.4,9.8,13.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.6,3.4,4.2,3.2,4.5,3.0,4.9,5,23.9,21.4,26.3,20.6,27.3,19.9,28.5
