"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1986-Q1","Q1-1986","PC","Percentage","0","Units",,,50.98198,,
"AUS","Australia","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1986-Q2","Q2-1986","PC","Percentage","0","Units",,,51.94174,,
"AUS","Australia","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1986-Q3","Q3-1986","PC","Percentage","0","Units",,,51.95907,,
"AUS","Australia","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1986-Q4","Q4-1986","PC","Percentage","0","Units",,,52.22843,,
"AUS","Australia","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1987-Q1","Q1-1987","PC","Percentage","0","Units",,,52.24533,,
"AUS","Australia","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1987-Q2","Q2-1987","PC","Percentage","0","Units",,,52.47342,,
"AUS","Australia","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1987-Q3","Q3-1987","PC","Percentage","0","Units",,,52.72547,,
"AUS","Australia","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1987-Q4","Q4-1987","PC","Percentage","0","Units",,,52.95143,,
"AUS","Australia","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1988-Q1","Q1-1988","PC","Percentage","0","Units",,,53.53922,,
"AUS","Australia","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1988-Q2","Q2-1988","PC","Percentage","0","Units",,,53.83149,,
"AUS","Australia","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1988-Q3","Q3-1988","PC","Percentage","0","Units",,,54.34049,,
"AUS","Australia","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1988-Q4","Q4-1988","PC","Percentage","0","Units",,,54.72649,,
"AUS","Australia","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1989-Q1","Q1-1989","PC","Percentage","0","Units",,,55.56126,,
"AUS","Australia","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1989-Q2","Q2-1989","PC","Percentage","0","Units",,,56.18661,,
"AUS","Australia","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1989-Q3","Q3-1989","PC","Percentage","0","Units",,,56.71467,,
"AUS","Australia","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1989-Q4","Q4-1989","PC","Percentage","0","Units",,,57.11615,,
"AUS","Australia","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1990-Q1","Q1-1990","PC","Percentage","0","Units",,,57.36837,,
"AUS","Australia","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1990-Q2","Q2-1990","PC","Percentage","0","Units",,,57.60228,,
"AUS","Australia","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1990-Q3","Q3-1990","PC","Percentage","0","Units",,,57.42938,,
"AUS","Australia","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1990-Q4","Q4-1990","PC","Percentage","0","Units",,,57.01374,,
"AUS","Australia","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1991-Q1","Q1-1991","PC","Percentage","0","Units",,,56.39796,,
"AUS","Australia","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1991-Q2","Q2-1991","PC","Percentage","0","Units",,,56.18945,,
"AUS","Australia","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1991-Q3","Q3-1991","PC","Percentage","0","Units",,,55.82705,,
"AUS","Australia","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1991-Q4","Q4-1991","PC","Percentage","0","Units",,,55.36761,,
"AUS","Australia","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1992-Q1","Q1-1992","PC","Percentage","0","Units",,,55.62544,,
"AUS","Australia","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1992-Q2","Q2-1992","PC","Percentage","0","Units",,,55.45668,,
"AUS","Australia","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1992-Q3","Q3-1992","PC","Percentage","0","Units",,,55.75756,,
"AUS","Australia","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1992-Q4","Q4-1992","PC","Percentage","0","Units",,,55.45113,,
"AUS","Australia","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1993-Q1","Q1-1993","PC","Percentage","0","Units",,,55.43892,,
"AUS","Australia","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1993-Q2","Q2-1993","PC","Percentage","0","Units",,,55.2137,,
"AUS","Australia","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1993-Q3","Q3-1993","PC","Percentage","0","Units",,,55.29581,,
"AUS","Australia","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1993-Q4","Q4-1993","PC","Percentage","0","Units",,,55.91669,,
